class,field,nonnull_count,total_count,ratio
org/python/antlr/PythonParser$funcdef_return,0,618,618,1.00
org/python/antlr/PythonParser$gen_for_return,0,1,1,1.00
org/python/antlr/PythonParser$global_stmt_return,0,7,7,1.00
org/python/antlr/PythonParser$if_stmt_return,0,841,841,1.00
org/python/antlr/PythonParser$import_as_name_return,0,114,114,1.00
org/python/antlr/PythonParser$import_as_name_return,1,114,114,1.00
org/python/antlr/PythonParser$import_as_names_return,0,38,38,1.00
org/python/antlr/PythonParser$import_as_names_return,1,0,38,0.00
org/python/antlr/PythonParser$import_from_return,0,62,62,1.00
org/python/antlr/PythonParser$import_name_return,0,170,170,1.00
org/python/antlr/PythonParser$import_stmt_return,0,232,232,1.00
org/python/antlr/PythonParser$lambdef_return,0,6,6,1.00
org/python/antlr/PythonParser$list_for_return,0,5,5,1.00
org/python/antlr/PythonParser$list_if_return,0,3,3,1.00
org/python/antlr/PythonParser$list_iter_return,0,3,3,1.00
org/python/antlr/PythonParser$listmaker_return,0,93,93,1.00
org/python/antlr/PythonParser$not_test_return,0,237,20762,0.01
org/python/antlr/PythonParser$not_test_return,1,20758,20762,1.00
org/python/antlr/PythonParser$or_test_return,0,0,20368,0.00
org/python/antlr/PythonParser$or_test_return,1,20368,20368,1.00
org/python/antlr/PythonParser$parameters_return,0,618,618,1.00
org/python/antlr/PythonParser$parameters_return,1,618,618,1.00
org/python/antlr/PythonParser$pass_stmt_return,0,449,449,1.00
org/python/antlr/PythonParser$power_return,0,23869,23869,1.00
org/python/antlr/PythonParser$power_return,1,361,23869,0.02
org/python/antlr/PythonParser$power_return,2,23869,23869,1.00
org/python/antlr/PythonParser$print_stmt_return,0,216,216,1.00
org/python/antlr/PythonParser$printlist_return,0,156,156,1.00
org/python/antlr/PythonParser$printlist_return,1,156,156,1.00
org/python/antlr/PythonParser$raise_stmt_return,0,152,152,1.00
org/python/antlr/PythonParser$return_stmt_return,0,488,488,1.00
org/python/antlr/PythonParser$shift_expr_return,0,244,22516,0.01
org/python/antlr/PythonParser$shift_expr_return,1,22503,22516,1.00
org/python/antlr/PythonParser$shift_op_return,0,2,2,1.00
org/python/antlr/PythonParser$shift_op_return,1,2,2,1.00
org/python/antlr/PythonParser$simple_stmt_return,0,8325,8325,1.00
org/python/antlr/PythonParser$simple_stmt_return,1,8325,8325,1.00
org/python/antlr/PythonParser$small_stmt_return,0,16688,16688,1.00
org/python/antlr/PythonParser$stmt_return,0,10487,10487,1.00
org/python/antlr/PythonParser$stmt_return,1,10487,10487,1.00
org/python/antlr/PythonParser$subscript_return,0,898,5744,0.16
org/python/antlr/PythonParser$subscript_return,1,2528,5744,0.44
org/python/antlr/PythonParser$subscriptlist_return,0,1264,1264,1.00
org/python/antlr/PythonParser$suite_return,0,2924,2924,1.00
org/python/antlr/PythonParser$suite_return,1,2924,2924,1.00
org/python/antlr/PythonParser$term_op_return,0,611,611,1.00
org/python/antlr/PythonParser$term_op_return,1,611,611,1.00
org/python/antlr/PythonParser$term_return,0,248,25344,0.01
org/python/antlr/PythonParser$term_return,1,24039,25344,0.95
org/python/antlr/PythonParser$test_return,0,23046,26380,0.87
org/python/antlr/PythonParser$testlist_gexp_return,0,358,358,1.00
org/python/antlr/PythonParser$testlist_return,0,15886,15886,1.00
org/python/antlr/PythonParser$trailer_return,0,14116,31746,0.44
org/python/antlr/PythonParser$try_stmt_return,0,292,292,1.00
org/python/antlr/PythonParser$varargslist_return,0,597,597,1.00
org/python/antlr/PythonParser$varargslist_return,1,597,597,1.00
org/python/antlr/PythonParser$while_stmt_return,0,43,43,1.00
org/python/antlr/PythonParser$xor_expr_return,0,244,22457,0.01
org/python/antlr/PythonParser$xor_expr_return,1,22452,22457,1.00
org/python/antlr/PythonParser$yield_expr_return,0,20,20,1.00
org/python/antlr/PythonParser$yield_stmt_return,0,20,20,1.00
org/python/antlr/PythonTokenSource,0,416386,416386,1.00
org/python/antlr/PythonTokenSource,1,416386,416386,1.00
org/python/antlr/PythonTokenSource,2,416386,416386,1.00
org/python/antlr/PythonTokenSource,3,416386,416386,1.00
org/python/antlr/PythonTree,0,6418653,6418653,1.00
org/python/antlr/PythonTree,1,1034007,6418653,0.16
org/python/antlr/PythonTree,2,3110795,6418653,0.48
org/python/antlr/ast/Assert,0,18,18,1.00
org/python/antlr/ast/Assert,1,6,18,0.33
org/python/antlr/ast/Assign,0,24926,24926,1.00
org/python/antlr/ast/Assign,1,24926,24926,1.00
org/python/antlr/ast/Attribute,0,25605,25605,1.00
org/python/antlr/ast/Attribute,1,25605,25605,1.00
org/python/antlr/ast/Attribute,2,25605,25605,1.00
org/python/antlr/ast/Attribute,3,25605,25605,1.00
org/python/antlr/ast/AugAssign,0,176,176,1.00
org/python/antlr/ast/AugAssign,1,176,176,1.00
org/python/antlr/ast/AugAssign,2,176,176,1.00
org/python/antlr/ast/BinOp,0,9939,9939,1.00
org/python/antlr/ast/BinOp,1,9939,9939,1.00
org/python/antlr/ast/BinOp,2,9939,9939,1.00
org/python/antlr/ast/BoolOp,0,1122,1122,1.00
org/python/antlr/ast/BoolOp,1,1122,1122,1.00
org/python/antlr/ast/Call,0,41815,41815,1.00
org/python/antlr/ast/Call,1,41815,41815,1.00
org/python/antlr/ast/Call,2,41815,41815,1.00
org/python/antlr/ast/Call,3,295,41815,0.01
org/python/antlr/ast/Call,4,81,41815,0.00
org/python/antlr/ast/ClassDef,0,1556,1556,1.00
org/python/antlr/ast/ClassDef,1,1556,1556,1.00
org/python/antlr/ast/ClassDef,2,1556,1556,1.00
org/python/antlr/ast/ClassDef,3,1556,1556,1.00
org/python/antlr/ast/ClassDef,4,1556,1556,1.00
org/python/antlr/ast/Compare,0,10802,10802,1.00
org/python/antlr/ast/Compare,1,10802,10802,1.00
org/python/antlr/ast/Compare,2,10802,10802,1.00
org/python/antlr/ast/Delete,0,230,230,1.00
org/python/antlr/ast/Dict,0,1756,1756,1.00
org/python/antlr/ast/Dict,1,1756,1756,1.00
org/python/antlr/ast/ExceptHandler,0,762,1577,0.48
org/python/antlr/ast/ExceptHandler,1,140,1577,0.09
org/python/antlr/ast/ExceptHandler,2,1577,1577,1.00
org/python/antlr/ast/Exec,0,8,8,1.00
org/python/antlr/ast/Exec,1,0,8,0.00
org/python/antlr/ast/Exec,2,0,8,0.00
org/python/antlr/ast/Expr,0,10473,10473,1.00
org/python/antlr/ast/For,0,2148,2148,1.00
org/python/antlr/ast/For,1,2148,2148,1.00
org/python/antlr/ast/For,2,2148,2148,1.00
org/python/antlr/ast/For,3,2148,2148,1.00
org/python/antlr/ast/FunctionDef,0,7416,7416,1.00
org/python/antlr/ast/FunctionDef,1,7416,7416,1.00
org/python/antlr/ast/FunctionDef,2,7416,7416,1.00
org/python/antlr/ast/FunctionDef,3,7416,7416,1.00
org/python/antlr/ast/FunctionDef,4,7416,7416,1.00
org/python/antlr/ast/GeneratorExp,0,18,18,1.00
org/python/antlr/ast/GeneratorExp,1,18,18,1.00
org/python/antlr/ast/Global,0,34,34,1.00
org/python/antlr/ast/Global,1,34,34,1.00
org/python/antlr/ast/If,0,9071,9071,1.00
org/python/antlr/ast/If,1,9071,9071,1.00
org/python/antlr/ast/If,2,9071,9071,1.00
org/python/antlr/ast/Import,0,1245,1245,1.00
org/python/antlr/ast/ImportFrom,0,596,596,1.00
org/python/antlr/ast/ImportFrom,1,596,596,1.00
org/python/antlr/ast/ImportFrom,2,596,596,1.00
org/python/antlr/ast/ImportFrom,3,596,596,1.00
org/python/antlr/ast/Index,0,3234,3234,1.00
org/python/antlr/ast/Lambda,0,30,30,1.00
org/python/antlr/ast/Lambda,1,30,30,1.00
org/python/antlr/ast/List,0,1132,1132,1.00
org/python/antlr/ast/List,1,1132,1132,1.00
org/python/antlr/ast/ListComp,0,33,33,1.00
org/python/antlr/ast/ListComp,1,33,33,1.00
org/python/antlr/ast/Module,0,270,270,1.00
org/python/antlr/ast/Name,0,121377,121377,1.00
org/python/antlr/ast/Name,1,121377,121377,1.00
org/python/antlr/ast/Num,0,24774,24774,1.00
org/python/antlr/ast/Print,0,0,2568,0.00
org/python/antlr/ast/Print,1,2568,2568,1.00
org/python/antlr/ast/Print,2,2568,2568,1.00
org/python/antlr/ast/Raise,0,1486,1514,0.98
org/python/antlr/ast/Raise,1,838,1514,0.55
org/python/antlr/ast/Raise,2,24,1514,0.02
org/python/antlr/ast/Return,0,3217,3391,0.95
org/python/antlr/ast/Slice,0,1547,2740,0.56
org/python/antlr/ast/Slice,1,1589,2740,0.58
org/python/antlr/ast/Slice,2,0,2740,0.00
org/python/antlr/ast/Str,0,10504,10504,1.00
org/python/antlr/ast/Subscript,0,12654,12654,1.00
org/python/antlr/ast/Subscript,1,12654,12654,1.00
org/python/antlr/ast/Subscript,2,12654,12654,1.00
org/python/antlr/ast/Suite,0,1494,1494,1.00
org/python/antlr/ast/TryExcept,0,2706,2706,1.00
org/python/antlr/ast/TryExcept,1,2706,2706,1.00
org/python/antlr/ast/TryExcept,2,2706,2706,1.00
org/python/antlr/ast/TryFinally,0,54,54,1.00
org/python/antlr/ast/TryFinally,1,54,54,1.00
org/python/antlr/ast/Tuple,0,2749,2749,1.00
org/python/antlr/ast/Tuple,1,2749,2749,1.00
org/python/antlr/ast/UnaryOp,0,667,667,1.00
org/python/antlr/ast/UnaryOp,1,667,667,1.00
org/python/antlr/ast/While,0,301,301,1.00
org/python/antlr/ast/While,1,301,301,1.00
org/python/antlr/ast/While,2,301,301,1.00
org/python/antlr/ast/Yield,0,103,103,1.00
org/python/antlr/ast/alias,0,1093,1093,1.00
org/python/antlr/ast/alias,1,1021,1093,0.93
org/python/antlr/ast/alias,2,44,1093,0.04
org/python/antlr/ast/alias,3,44,1093,0.04
org/python/antlr/ast/arguments,0,5808,5808,1.00
org/python/antlr/ast/arguments,1,213,5808,0.04
org/python/antlr/ast/arguments,2,213,5808,0.04
org/python/antlr/ast/arguments,3,72,5808,0.01
org/python/antlr/ast/arguments,4,72,5808,0.01
org/python/antlr/ast/arguments,5,5808,5808,1.00
org/python/antlr/ast/comprehension,0,38,38,1.00
org/python/antlr/ast/comprehension,1,38,38,1.00
org/python/antlr/ast/comprehension,2,38,38,1.00
org/python/antlr/ast/keyword,0,308,308,1.00
org/python/antlr/ast/keyword,1,308,308,1.00
org/python/compiler/ArgListCompiler,0,1248,2965,0.42
org/python/compiler/ArgListCompiler,1,2965,2965,1.00
org/python/compiler/ArgListCompiler,2,2965,2965,1.00
org/python/compiler/ArgListCompiler,3,2965,2965,1.00
org/python/compiler/ClassFile,0,4178,4178,1.00
org/python/compiler/ClassFile,1,4178,4178,1.00
org/python/compiler/ClassFile,2,4178,4178,1.00
org/python/compiler/ClassFile,3,135,4178,0.03
org/python/compiler/ClassFile,4,4178,4178,1.00
org/python/compiler/ClassFile,5,4178,4178,1.00
org/python/compiler/ClassFile,6,4178,4178,1.00
org/python/compiler/Code,0,301517,301517,1.00
org/python/compiler/Code,1,301517,301517,1.00
org/python/compiler/Code,2,300500,301517,1.00
org/python/compiler/Code,3,301517,301517,1.00
org/python/compiler/CodeCompiler$ExceptionHandler,0,347,347,1.00
org/python/compiler/CodeCompiler$ExceptionHandler,1,347,347,1.00
org/python/compiler/CodeCompiler$ExceptionHandler,2,45,347,0.13
org/python/compiler/CodeCompiler$ExceptionHandler,3,347,347,1.00
org/python/compiler/Future,0,489,489,1.00
org/python/compiler/Future,1,489,489,1.00
org/python/compiler/LegacyCompiler$LazyLegacyBundle,0,8,8,1.00
org/python/compiler/LegacyCompiler$LazyLegacyBundle,1,8,8,1.00
org/python/compiler/LegacyCompiler$LazyLegacyBundle,2,8,8,1.00
org/python/compiler/LegacyCompiler$LazyLegacyBundle,3,8,8,1.00
org/python/compiler/LegacyCompiler$LazyLegacyBundle,4,4,8,0.50
org/python/compiler/Module,0,17666,17666,1.00
org/python/compiler/Module,1,17576,17666,0.99
org/python/compiler/Module,2,17666,17666,1.00
org/python/compiler/Module,3,315,17666,0.02
org/python/compiler/Module,4,17576,17666,0.99
org/python/compiler/Module,5,17576,17666,0.99
org/python/compiler/Module,6,17576,17666,0.99
org/python/compiler/Module,7,17666,17666,1.00
org/python/compiler/PyCodeConstant,0,4630,4630,1.00
org/python/compiler/PyCodeConstant,1,2680,4630,0.58
org/python/compiler/PyCodeConstant,2,3838,4630,0.83
org/python/compiler/PyCodeConstant,3,15,4630,0.00
org/python/compiler/PyCodeConstant,4,12,4630,0.00
org/python/compiler/PyLongConstant,0,969,969,1.00
org/python/compiler/PyStringConstant,0,10094,10094,1.00
org/python/compiler/PyUnicodeConstant,0,231,231,1.00
org/python/compiler/ScopeInfo,0,23201,23201,1.00
org/python/compiler/ScopeInfo,1,23201,23201,1.00
org/python/compiler/ScopeInfo,2,20196,23201,0.87
org/python/compiler/ScopeInfo,3,23201,23201,1.00
org/python/compiler/ScopeInfo,4,23201,23201,1.00
org/python/compiler/ScopeInfo,5,23201,23201,1.00
org/python/compiler/ScopeInfo,6,23201,23201,1.00
org/python/compiler/ScopeInfo,7,23201,23201,1.00
org/python/compiler/ScopeInfo,8,2988,23201,0.13
org/python/compiler/ScopeInfo,9,23201,23201,1.00
org/python/compiler/ScopesCompiler,0,20818,20818,1.00
org/python/compiler/ScopesCompiler,1,20818,20818,1.00
org/python/compiler/ScopesCompiler,2,20683,20818,0.99
org/python/compiler/ScopesCompiler,3,20818,20818,1.00
org/python/core/ArgParser,0,3359033,3359033,1.00
org/python/core/ArgParser,1,3359033,3359033,1.00
org/python/core/ArgParser,2,3359033,3359033,1.00
org/python/core/ArgParser,3,3359033,3359033,1.00
org/python/core/BytecodeLoader$Loader,0,718,718,1.00
org/python/core/ClasspathPyImporter,0,105,119,0.88
org/python/core/ClasspathPyImporter,1,98,119,0.82
org/python/core/CodeFlag$1$1,0,9796,9796,1.00
org/python/core/CodeFlag$1$1,1,6753,9796,0.69
org/python/core/CodeFlag$1$1,2,9796,9796,1.00
org/python/core/CompilerFlags,0,0,3155715,0.00
org/python/core/CompilerFlags,1,3155715,3155715,1.00
org/python/core/IdImpl$WeakIdentityMap$WeakIdKey,0,2,2,1.00
org/python/core/IdImpl$WeakIdentityMap,0,4,4,1.00
org/python/core/IdImpl$WeakIdentityMap,1,4,4,1.00
org/python/core/IdImpl,0,3,3,1.00
org/python/core/PyBaseException,0,95479,95479,1.00
org/python/core/PyBaseException,1,95479,95479,1.00
org/python/core/PyBaseException,2,0,95479,0.00
org/python/core/PyBaseExceptionDerived,0,95479,95479,1.00
org/python/core/PyBeanProperty,0,2,2,1.00
org/python/core/PyBeanProperty,1,0,2,0.00
org/python/core/PyBeanProperty,2,2,2,1.00
org/python/core/PyBeanProperty,3,2,2,1.00
org/python/core/PyBuiltinCallable$DefaultInfo,0,2151,2151,1.00
org/python/core/PyBuiltinMethod,0,29,826,0.04
org/python/core/PyDescriptor,0,1928723,1928723,1.00
org/python/core/PyDescriptor,1,1928723,1928723,1.00
org/python/core/PyDictProxy,0,65,65,1.00
org/python/core/PyFastSequenceIter,0,2385323,2385323,1.00
org/python/core/PyFile$Closer,0,2,2,1.00
org/python/core/PyFile$Closer,1,2,2,1.00
org/python/core/PyFrame,0,76403489,76403640,1.00
org/python/core/PyFrame,1,76403640,76403640,1.00
org/python/core/PyFrame,10,0,76403640,0.00
org/python/core/PyFrame,2,76403640,76403640,1.00
org/python/core/PyFrame,3,76403640,76403640,1.00
org/python/core/PyFrame,4,467646,76403640,0.01
org/python/core/PyFrame,5,76368247,76403640,1.00
org/python/core/PyFrame,6,64,76403640,0.00
org/python/core/PyFrame,7,21,76403640,0.00
org/python/core/PyFrame,8,76403640,76403640,1.00
org/python/core/PyFrame,9,0,76403640,0.00
org/python/core/PyFunction,0,2027162,2027162,1.00
org/python/core/PyFunction,1,2027162,2027162,1.00
org/python/core/PyFunction,2,2027162,2027162,1.00
org/python/core/PyFunction,3,686790,2027162,0.34
org/python/core/PyFunction,4,2027162,2027162,1.00
org/python/core/PyFunction,5,12,2027162,0.00
org/python/core/PyFunction,6,16,2027162,0.00
org/python/core/PyFunction,7,2027162,2027162,1.00
org/python/core/PyGenerator,0,20,20,1.00
org/python/core/PyGenerator,1,0,20,0.00
org/python/core/PyJavaPackage,0,83,83,1.00
org/python/core/PyJavaPackage,1,83,83,1.00
org/python/core/PyJavaPackage,2,83,83,1.00
org/python/core/PyJavaPackage,3,24,83,0.29
org/python/core/PyJavaPackage,4,83,83,1.00
org/python/core/PyJavaType,0,0,120,0.00
org/python/core/PyJavaType,1,11,120,0.09
org/python/core/PyList$2,0,287,287,1.00
org/python/core/PyList$2,1,287,287,1.00
org/python/core/PyList$PyObjectDefaultComparator,0,2406,2406,1.00
org/python/core/PyLong,0,3340212,3340212,1.00
org/python/core/PyMethodDescr,0,3857923,3857923,1.00
org/python/core/PyObject$1$1,0,4912,4912,1.00
org/python/core/PyObject$1,0,689,689,1.00
org/python/core/PyObjectDerived,0,312041,312041,1.00
org/python/core/PyObjectDerived,1,312040,312041,1.00
org/python/core/PyReflectedFunction,0,7457,7457,1.00
org/python/core/PyReflectedFunction,1,7457,7457,1.00
org/python/core/PyReflectedFunction,2,7457,7457,1.00
org/python/core/PySequence$1,0,10587344,10587344,1.00
org/python/core/PySequenceIter,0,251598,251598,1.00
org/python/core/PySlice,0,4758490,4758490,1.00
org/python/core/PySlice,1,4758490,4758490,1.00
org/python/core/PySlice,2,4758490,4758490,1.00
org/python/core/PyStaticMethod,0,2,2,1.00
org/python/core/PyString,0,24693983,24693983,1.00
org/python/core/PySuper,0,2,4,0.50
org/python/core/PySuper,1,2,4,0.50
org/python/core/PySuper,2,2,4,0.50
org/python/core/PySystemState$PySystemStateCloser,0,7,7,1.00
org/python/core/PySystemState$PySystemStateCloser,1,6,7,0.86
org/python/core/PyTableCode,0,1499314,1499314,1.00
org/python/core/PyTableCode,1,1499314,1499314,1.00
org/python/core/PyTuple$1,0,78,78,1.00
org/python/core/PyTuple$1,1,78,78,1.00
org/python/core/PyTuple,0,6564063,6564063,1.00
org/python/core/PyTuple,1,35,6564063,0.00
org/python/core/PyTupleDerived,0,100,100,1.00
org/python/core/PyTupleDerived,1,100,100,1.00
org/python/core/PyType$11,0,266,266,1.00
org/python/core/PyType$MROMergeState,0,4502,4502,1.00
org/python/core/PyType$MethodCache$MethodCacheEntry,0,4758709,4759369,1.00
org/python/core/PyType$MethodCache$MethodCacheEntry,1,4758709,4759369,1.00
org/python/core/PyType$MethodCache$MethodCacheEntry,2,4759369,4759369,1.00
org/python/core/PyType$MethodCache,0,2380097,2380097,1.00
org/python/core/PyTypeDerived,0,4,4,1.00
org/python/core/PyUnicode,0,3926011,3926011,1.00
org/python/core/ReflectedArgs,0,2239,2239,1.00
org/python/core/ReflectedArgs,1,2239,2239,1.00
org/python/core/ReflectedArgs,2,2239,2239,1.00
org/python/core/ReflectedCallData,0,188,188,1.00
org/python/core/ReflectedCallData,1,18,188,0.10
org/python/core/adapter/ClassAdapter,0,30,30,1.00
org/python/core/adapter/ClassicPyObjectAdapter$1,0,689,689,1.00
org/python/core/adapter/ClassicPyObjectAdapter$2,0,111,111,1.00
org/python/core/adapter/ClassicPyObjectAdapter$3,0,112,112,1.00
org/python/core/adapter/ClassicPyObjectAdapter$6,0,7,7,1.00
org/python/core/adapter/ClassicPyObjectAdapter$9,0,7,7,1.00
org/python/core/adapter/ExtensiblePyObjectAdapter,0,442,442,1.00
org/python/core/adapter/ExtensiblePyObjectAdapter,1,442,442,1.00
org/python/core/adapter/ExtensiblePyObjectAdapter,2,442,442,1.00
org/python/core/io/BufferedIOMixin,0,542,542,1.00
org/python/core/io/BufferedReader,0,221,221,1.00
org/python/core/io/BufferedWriter,0,160,160,1.00
org/python/core/io/FileIO,0,14,18,0.78
org/python/core/io/FileIO,1,14,18,0.78
org/python/core/io/FileIO,2,0,18,0.00
org/python/core/io/StreamIO,0,526,848,0.62
org/python/core/io/StreamIO,1,322,848,0.38
org/python/core/io/StreamIO,2,526,848,0.62
org/python/core/io/StreamIO,3,322,848,0.38
org/python/core/io/TextIOBase,0,667,667,1.00
org/python/core/io/TextIOBase,1,667,667,1.00
org/python/core/io/TextIOBase,2,667,667,1.00
org/python/core/io/TextIOBase,3,667,667,1.00
org/python/core/io/TextIOInputStream,0,172,172,1.00
org/python/core/io/TextIOWrapper,0,149,149,1.00
org/python/core/io/UniversalIOWrapper,0,127,127,1.00
org/python/core/packagecache/CachedJarsPackageManager,0,700,702,1.00
org/python/core/packagecache/CachedJarsPackageManager,1,701,702,1.00
org/python/expose/BaseTypeBuilder,0,418,522,0.80
org/python/expose/BaseTypeBuilder,1,522,522,1.00
org/python/expose/BaseTypeBuilder,2,522,522,1.00
org/python/expose/BaseTypeBuilder,3,522,522,1.00
org/python/expose/BaseTypeBuilder,4,522,522,1.00
org/python/expose/BaseTypeBuilder,5,522,522,1.00
org/python/expose/BaseTypeBuilder,6,133,522,0.25
org/python/modules/operator$PyItemGetter,0,320000,320000,1.00
org/python/modules/posix/OS,0,3,3,1.00
org/python/modules/posix/OS,1,3,3,1.00
org/python/modules/zipimport/zipimporter,0,0,28,0.00
org/python/modules/zipimport/zipimporter,1,0,28,0.00
org/python/modules/zipimport/zipimporter,2,0,28,0.00
org/python/modules/zipimport/zipimporter,3,0,28,0.00
org/python/util/CommandLineOptions,0,0,2,0.00
org/python/util/CommandLineOptions,1,0,2,0.00
org/python/util/CommandLineOptions,2,2,2,1.00
org/python/util/CommandLineOptions,3,0,2,0.00
org/python/util/CommandLineOptions,4,2,2,1.00
org/python/util/CommandLineOptions,5,0,2,0.00
org/python/util/CommandLineOptions,6,0,2,0.00
org/python/util/CommandLineOptions,7,0,2,0.00
org/python/util/Generic$SetFromMap,0,7,7,1.00
org/python/util/Generic$SetFromMap,1,7,7,1.00
org/python/util/JLineConsole,0,0,2,0.00
org/python/util/JLineConsole,1,0,2,0.00
org/python/util/JLineConsole,2,0,2,0.00
